Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,155399,Kansas State University,Physical Sciences,'40',Bachelor's degree,First major,28,17,11,25,15,10,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,155399,Kansas State University,Visual and Performing Arts,'50',Bachelor's degree,First major,92,34,58,83,30,53,2,2,0,2,1,1,2,1,1,0,0,0,2,0,2,1,0,1
2000-2001,155399,Kansas State University,Home Economics- General,'19',Bachelor's degree,First major,207,10,197,188,8,180,5,1,4,5,0,5,2,0,2,5,0,5,1,0,1,1,1,0
2000-2001,155399,Kansas State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,105,50,55,95,47,48,3,0,3,1,0,1,3,2,1,0,0,0,3,1,2,0,0,0
2000-2001,155399,Kansas State University,Psychology,'42',Bachelor's degree,First major,98,18,80,84,15,69,5,1,4,7,1,6,1,0,1,1,1,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Agricultural Sciences,'02',Bachelor's degree,First major,247,158,89,242,155,87,2,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
2000-2001,155399,Kansas State University,Architecture and Related Programs,'04',Bachelor's degree,First major,95,73,22,85,64,21,0,0,0,5,5,0,3,3,0,0,0,0,1,1,0,1,0,1
2000-2001,155399,Kansas State University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,182,79,103,165,70,95,3,0,3,4,4,0,6,1,5,1,1,0,3,3,0,0,0,0
2000-2001,155399,Kansas State University,Communications,'09',Bachelor's degree,First major,157,55,102,147,53,94,2,0,2,6,2,4,1,0,1,1,0,1,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,26,5,21,21,3,18,2,1,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2000-2001,155399,Kansas State University,Philosophy and Religion,'38',Bachelor's degree,First major,5,4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Public Administration and Services,'44',Bachelor's degree,First major,32,1,31,25,0,25,5,1,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2000-2001,155399,Kansas State University,Social Sciences and History,'45',Bachelor's degree,First major,320,183,137,275,157,118,21,11,10,9,6,3,2,0,2,5,4,1,5,3,2,3,2,1
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,'02',Bachelor's degree,First major,74,36,38,56,28,28,4,1,3,3,0,3,1,0,1,1,0,1,1,1,0,8,6,2
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Related Programs,'04',Bachelor's degree,First major,92,44,48,68,30,38,2,0,2,5,4,1,6,6,0,1,1,0,2,0,2,8,3,5
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Visual and Performing Arts,'50',Bachelor's degree,First major,129,54,75,107,43,64,4,2,2,1,1,0,6,3,3,0,0,0,5,3,2,6,2,4
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Communications,'09',Bachelor's degree,First major,216,65,151,175,51,124,15,6,9,4,1,3,7,0,7,1,0,1,7,4,3,7,3,4
2000-2001,159391,Louisiana State University and Agricultural & Mechanical College,Engineering-Related Technologies,'15',Bachelor's degree,First major,75,74,1,68,67,1,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1,0
