"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"124","Football","Entity","University of Virginia Fo...","http://www.sportsfangraph.com/team/university-of-virginia-football",2012-12-06,"Rank",124,NA
"125","Football","Entity","University of Mississippi...","http://www.sportsfangraph.com/team/university-of-mississippi-football",2012-12-06,"Rank",125,NA
"126","Football","Entity","New Orleans VooDoo","http://www.sportsfangraph.com/team/new-orleans-voodoo",2012-12-06,"Rank",126,NA
"127","Football","Entity","Las Vegas Locomotives","http://www.sportsfangraph.com/team/las-vegas-locomotives",2012-12-06,"Rank",127,NA
"128","Football","Entity","Sacramento Mountain Lions","http://www.sportsfangraph.com/team/sacramento-mountain-lions",2012-12-06,"Rank",128,NA
"129","Football","Entity","Chicago Rush","http://www.sportsfangraph.com/team/chicago-rush",2012-12-06,"Rank",129,NA
"130","Football","Entity","San Jose SaberCats","http://www.sportsfangraph.com/team/san-jose-sabercats",2012-12-06,"Rank",130,NA
"131","Football","Entity","Georgia Force","http://www.sportsfangraph.com/team/georgia-force",2012-12-06,"Rank",131,NA
"132","Football","Entity","Hartford Colonials","http://www.sportsfangraph.com/team/hartford-colonials",2012-12-06,"Rank",132,NA
"133","Football","Entity","Colorado State University...","http://www.sportsfangraph.com/team/colorado-state-university-football",2012-12-06,"Rank",133,NA
"134","Football","Entity","University of Pittsburgh ...","http://www.sportsfangraph.com/team/university-of-pittsburgh-football",2012-12-06,"Rank",134,NA
"135","Football","Entity","Tulsa Talons","http://www.sportsfangraph.com/team/tulsa-talons",2012-12-06,"Rank",135,NA
"136","Football","Entity","Dallas Vigilantes","http://www.sportsfangraph.com/team/dallas-vigilantes",2012-12-06,"Rank",136,NA
"137","Football","Entity","Milwaukee Mustangs","http://www.sportsfangraph.com/team/milwaukee-iron",2012-12-06,"Rank",137,NA
"138","Football","Entity","University of Hawaii Foot...","http://www.sportsfangraph.com/team/university-of-hawaii-football",2012-12-06,"Rank",138,NA
"139","Football","Entity","University of California ...","http://www.sportsfangraph.com/team/university-of-california-football",2012-12-06,"Rank",139,NA
"140","Football","Entity","University of North Texas...","http://www.sportsfangraph.com/team/university-of-north-texas-football",2012-12-06,"Rank",140,NA
"141","Football","Entity","University of Central Flo...","http://www.sportsfangraph.com/team/university-of-central-florida-football",2012-12-06,"Rank",141,NA
"142","Football","Entity","Florida Tuskers","http://www.sportsfangraph.com/team/florida-tuskers",2012-12-06,"Rank",142,NA
"143","Football","Entity","Utah State University Foo...","http://www.sportsfangraph.com/team/utah-state-university-football",2012-12-06,"Rank",143,NA
"144","Football","Entity","Louisiana Tech University...","http://www.sportsfangraph.com/team/louisiana-tech-university-football",2012-12-06,"Rank",144,NA
"145","Football","Entity","Northwestern University F...","http://www.sportsfangraph.com/team/northwestern-university-football",2012-12-06,"Rank",145,NA
"146","Football","Entity","Middle Tennessee Universi...","http://www.sportsfangraph.com/team/middle-tennessee-university-football",2012-12-06,"Rank",146,NA
"147","Football","Entity","Tulane University Footbal...","http://www.sportsfangraph.com/team/tulane-university-football",2012-12-06,"Rank",147,NA
"148","Football","Entity","Eastern Michigan Universi...","http://www.sportsfangraph.com/team/eastern-michigan-university-football",2012-12-06,"Rank",148,NA
