Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,221999,Vanderbilt University,Bachelor's degree,'14.0000',Engineering,202,166,36
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'14.0000',Engineering,691,592,99
1987-1988,228246,Southern Methodist University,Bachelor's degree,'14.0000',Engineering,107,91,16
1987-1988,147767,Northwestern University,Bachelor's degree,'14.0000',Engineering,249,184,65
1987-1988,217882,Clemson University,Bachelor's degree,'14.0000',Engineering,433,365,68
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'14.0000',Engineering,522,412,110
1987-1988,123961,University of Southern California,Bachelor's degree,'14.0000',Engineering,420,347,73
1987-1988,198419,Duke University,Bachelor's degree,'14.0000',Engineering,173,133,40
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'14.0000',Engineering,349,298,51
1987-1988,155399,Kansas State University,Bachelor's degree,'14.0000',Engineering,311,279,32
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'14.0000',Engineering,1295,1113,182
