,player,season,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
127,Blake Griffin,2014-2015,17674613,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
128,Blake Griffin,2015-2016,18907725,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
129,Blake Griffin,2016-2017,20140838,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
130,Blake Griffin,2017-2018,21373950,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,ETO
140,Brandon Davies,2013-2014,490180,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,U
141,Brandon Davies,2014-2015,816482,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,U
142,Brandon Davies,2015-2016,1147276,BDA Sports Management,Bill Duffy,FALSE,nba,Clippers,FALSE,QO
160,Byron Mullens,2013-2014,947907,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
161,Byron Mullens,2014-2015,1063384,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,PO
211,Chris Paul,2013-2014,18668431,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
212,Chris Paul,2014-2015,20068563,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
213,Chris Paul,2015-2016,21468695,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
214,Chris Paul,2016-2017,22868827,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,G
215,Chris Paul,2017-2018,24268959,Creative Artists Agency,Leon Rose,FALSE,nba,Clippers,FALSE,ETO
256,Darren Collison,2013-2014,1900000,BDA Sports Management,Rade Filipovich,FALSE,nba,Clippers,FALSE,G
257,Darren Collison,2014-2015,1985500,BDA Sports Management,Rade Filipovich,FALSE,nba,Clippers,FALSE,PO
264,DeAndre Jordan,2013-2014,10986550,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
265,DeAndre Jordan,2014-2015,11440123,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
457,J.J. Redick,2013-2014,6500000,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
458,J.J. Redick,2014-2015,6792500,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
459,J.J. Redick,2015-2016,7085000,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
460,J.J. Redick,2016-2017,7377500,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
