CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2001,Charron Dorsey,Florida State University,OT,NA,6.4999974,348,6.03,16,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Florida State
2012,Chas Alecxih,University of Pittsburgh,DT,NA,6.3333308,296,5.41,19,25,99,4.62,7.74,NA,Division I,Big East,Pittsburgh
2009,Chase Daniel,University of Missouri,QB,NA,6.0833309,218,4.79,NA,33,NA,4.31,7.28,NA,Division I,Southeastern,Missouri
2009,Chase Holbrook,New Mexico State University,QB,NA,6.3333308,242,5.12,NA,27,108,4.65,7.93,NA,Division I,I-A Independent,New Mexico State
2007,Chase Johnson,University of Wyoming,OT,NA,6.7499973,330,5.41,NA,27,91,4.7,8.15,NA,Division I,Mountain West,Wyoming
2005,Chase Lyman,University of California,WR,NA,6.2499975,217,4.5,16,NA,NA,NA,NA,NA,Division I,Pacific-12,California
2012,Chase Minnifield,University of Virginia,CB,NA,5.833331,183,NA,7,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Virginia
2008,Chase Ortiz,Texas Christian University,DE,NA,6.1666642,249,4.9,24,29.5,108,4.23,7.03,NA,Division I,Big 12,Texas Christian University
2000,Chase Raynock,University of Montana - Missoula,OT,NA,6.4999974,308,5.5,22,25,94,5,8.73,NA,Division I-AA,Big Sky,Montana
2013,Chase Thomas,Stanford University,OLB,79.4,6.25,244,4.91,18,32,113,4.31,7.17,NA,Division I,Pacific-12,Stanford University
2003,Chaun Thompson,West Texas A&M University,OLB,NA,6.1666642,240,4.58,29,35.5,123,4.22,7.01,NA,Division II,Lone Star,West Texas A&M
2005,Chauncey Davis,Florida State University,DE,NA,6.1666642,273,4.8,22,37,118,4.44,7.66,NA,Division I,Atlantic Coast,Florida State
2005,Chauncey Stovall,Florida State University,WR,NA,6.0833309,221,4.62,NA,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Florida State
2012,Chaz Powell,Pennsylvania State University,CB,NA,5.9999976,203,4.53,17,33,121,4.16,6.84,NA,Division I,Big Ten,Penn State
2007,Chaz Williams,University of Louisiana at Monroe,CB,NA,5.9166643,196,4.68,NA,32.5,108,NA,NA,NA,Division I,Sun Belt,University of Louisiana-Monroe
2002,Chester Pitts,San Diego State University,OT,NA,6.3333308,320,5.22,NA,30,106,4.81,7.84,NA,Division I,Mountain West,San Diego State
2002,Chester Taylor,University of Toledo,RB,NA,5.9166643,213,4.58,22,33,114,NA,NA,NA,Division I,Mid-American,Toledo
2011,Cheta Ozougwu,Rice University,DE,NA,6.1666642,247,4.84,26,34.5,119,4.31,7.06,NA,Division I,Conference USA,Rice
2008,Chevis Jackson,Louisiana State University,CB,NA,6.0833309,192,4.52,13,36,125,4.15,6.96,NA,Division I,Southeastern,Louisiana State University
2006,Chijioke Onyenegecha,University of Oklahoma,CB,NA,6.1666642,215,4.55,16,34.5,118,NA,NA,NA,Division I,Big 12,Oklahoma
1999,Chike Okeafor,Purdue University,OLB,NA,6.4166641,254,4.74,17,36.5,118,4.2,7.09,NA,Division I,Big Ten,Purdue
2008,Chilo Rachal,University of Southern California,OG,NA,6.4166641,315,5.16,28,25.5,108,5.14,8.01,NA,Division I,Pacific-12,University of Southern California
2011,Chimdi Chekwa,Ohio State University,CB,NA,5.9999976,191,4.38,NA,34.5,NA,NA,NA,NA,Division I,Big Ten,Ohio State
2007,Chinedum Ndukwe,Notre Dame University,FS,NA,6.1666642,206,4.49,15,37.5,NA,NA,NA,NA,Division I,I-A Independent,Notre Dame
2009,Chip Vaughn,Wake Forest University,SS,NA,6.1666642,221,4.42,21,37,125,4.12,7.03,NA,Division I,Atlantic Coast,Wake Forest
2009,Chris Baker,Hampton University,DT,NA,6.1666642,326,4.94,24,35.5,106,4.9,8.06,NA,Division I-AA,Mid-Eastern,Hampton
2002,Chris Baker,Michigan State University,TE,NA,6.2499975,258,4.81,18,35,112,NA,6.95,NA,Division I,Big Ten,Michigan State
2013,Chris Barker,University of Nevada,OG,66.5,6.25,305,5.25,29,27.5,99,4.77,8.09,NA,Division I,Mountain West,Nevada
2010,Chris Bell,Norfolk State University,WR,NA,6.1666642,211,4.5,15,35,117,4.35,6.76,NA,Division I-AA,Mid-Eastern,Norfolk State
2001,Chris Brown,Georgia Institute of Technology,OT,NA,6.4166641,329,5.33,30,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Georgia Tech
2003,Chris Brown,University of Hawaii,FS,NA,6.0833309,195,4.59,15,35.5,126,4.13,7.05,NA,Division I,Mountain West,Hawaii
2010,Chris Brown,University of Oklahoma,RB,NA,5.9166643,210,4.55,17,36,115,NA,NA,NA,Division I,Big 12,Oklahoma
2011,Chris Carter,"California State University, Fresno",OLB,NA,6.0833309,248,4.58,27,36,114,4.34,6.88,NA,Division I,Mountain West,Fresno State
2000,Chris Chaloupka,Sam Houston State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Division I-AA,Southland,Sam Houston State
2001,Chris Chambers,University of Wisconsin,WR,NA,6.0833309,210,4.33,NA,45,134,4,NA,NA,Division I,Big Ten,Wisconsin
2010,Chris Chancellor,Clemson University,CB,NA,5.7499977,177,4.49,14,34,115,4.07,6.85,NA,Division I,Atlantic Coast,Clemson
2006,Chris Chester,University of Oklahoma,C,NA,6.3333308,303,4.83,27,31.5,106,4.51,7.33,NA,Division I,Big 12,Oklahoma
1999,Chris Claiborne,University of Southern California,ILB,NA,6.2499975,248,4.63,16,34,116,4.37,7.68,NA,Division I,Pacific-12,University of Southern California
2009,Chris Clemons,Clemson University,FS,NA,6.0833309,208,4.33,19,37.5,127,4.38,7.27,NA,Division I,Atlantic Coast,Clemson
2003,Chris Clemons,University of Georgia,OLB,NA,6.2499975,236,4.68,18,35,116,NA,7.48,NA,Division I,Southeastern,Georgia
2000,Chris Cole,Texas A&M University,WR,NA,6.0833309,191,4.37,NA,37.5,125,4.09,6.76,NA,Division I,Southeastern,Texas A&M
2000,Chris Coleman,North Carolina State University,WR,NA,6.0833309,211,4.61,NA,32.5,110,4.1,6.79,NA,Division I,Atlantic Coast,North Carolina State
2004,Chris Collins,University of Mississippi,WR,NA,6.0833309,201,4.69,NA,35,112,NA,NA,NA,Division I,Southeastern,Ole Miss
2000,Chris Combs,Duke University,DT,NA,6.4166641,286,5.16,22,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Duke
2011,Chris Conte,University of California,FS,NA,6.1666642,197,4.52,18,35.5,127,4.19,7.01,NA,Division I,Pacific-12,California
2010,Chris Cook,University of Virginia,CB,NA,6.1666642,212,4.45,7,38,132,4.23,6.88,NA,Division I,Atlantic Coast,Virginia
2004,Chris Cooley,Utah State University,TE,NA,6.3333308,262,4.87,22,33,115,4.19,7.22,NA,Division I,Mountain West,Utah State
2001,Chris Cooper,University of Nebraska at Omaha,DE,NA,6.4166641,272,4.95,24,35.5,114,4.21,7.12,NA,Division I,Defunct,University of Nebraska-Omaha
2011,Chris Culliver,University of South Carolina,FS,NA,5.9999976,199,4.36,NA,38.5,NA,4.08,6.88,NA,Division I,Southeastern,South Carolina
1999,Chris Cummings,Louisiana State University,CB,NA,5.6666644,186,4.48,21,34.5,125,4.14,6.87,NA,Division I,Southeastern,Louisiana State University
2007,Chris Davis,Florida State University,WR,NA,5.833331,181,4.5,NA,35.5,115,4.14,6.66,NA,Division I,Atlantic Coast,Florida State
2003,Chris Davis,Syracuse University,FB,NA,6.0833309,235,4.56,21,38.5,116,4.37,7.25,NA,Division I,Atlantic Coast,Syracuse
2010,Chris DeGeare,Wake Forest University,OG,NA,6.3333308,325,5.12,27,32.5,103,4.9,7.84,NA,Division I,Atlantic Coast,Wake Forest
2007,Chris Denman,"California State University, Fresno",OT,NA,6.5833307,315,5.62,21,27.5,97,4.92,8.1,NA,Division I,Mountain West,Fresno State
2006,Chris Denney,University of Nebraska at Omaha,WR,NA,6.2499975,224,4.65,NA,33,110,4.36,7.03,NA,Division I,Defunct,University of Nebraska-Omaha
2008,Chris Ellis,Virginia Polytechnic Institute and State University,DE,NA,6.3333308,263,4.71,NA,27,109,4.65,7.64,NA,Division I,Atlantic Coast,Virginia Tech
2013,Chris Faulk,Louisiana State University,OT,64,6.42,331,5.08,25,NA,NA,NA,NA,NA,Division I,Southeastern,Louisiana State University
2012,Chris Galippo,University of Southern California,ILB,NA,6.0833309,241,4.87,19,29,NA,4.1,6.9,NA,Division I,Pacific-12,University of Southern California
1999,Chris Gall,University of Indiana,FB,NA,6.0833309,229,4.79,23,31,108,4.34,7.43,NA,Division I,Big Ten,Indiana
2012,Chris Givens,Wake Forest University,WR,NA,5.9166643,198,4.41,19,33,118,4.23,6.97,NA,Division I,Atlantic Coast,Wake Forest
2006,Chris Gocong,California Polytechnic State University,DE,NA,6.1666642,263,4.7,28,38.5,123,4.09,7.06,NA,Division I-AA,Big Sky,Cal Poly
2013,Chris Gragg,University of Arkansas,TE,58.9,6.25,244,4.5,18,37.5,125,4.51,7.08,NA,Division I,Southeastern,Arkansas
1999,Chris Greeson,Northwest Missouri State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Division II,Mid-America,Northwest Missouri State
1999,Chris Greisen,Northwest Missouri State University,QB,NA,6.2499975,223,5.09,NA,30.5,108,4.33,7.29,27,Division II,Mid-America,Northwest Missouri State
2011,Chris Hairston,Clemson University,OT,NA,6.4999974,326,5.38,33,29,96,4.7,7.9,NA,Division I,Atlantic Coast,Clemson
2006,Chris Hannon,University of Tennessee,WR,NA,6.2499975,205,4.48,NA,34.5,122,NA,NA,NA,Division I,Southeastern,Tennessee
2013,Chris Harper,Kansas State University,WR,68,6.08,229,4.55,20,35.5,116,4.39,6.89,NA,Division I,Big 12,Kansas State
2006,Chris Harrell,Pennsylvania State University,SS,NA,6.0833309,209,4.7,15,40.5,119,4.13,7.02,NA,Division I,Big Ten,Penn State
2008,Chris Harrington,Texas A&M University,DE,NA,6.4166641,264,4.84,21,NA,117,NA,NA,NA,Division I,Southeastern,Texas A&M
2010,Chris Hawkins,Louisiana State University,CB,NA,6.0833309,187,4.43,16,35,118,4.46,6.91,NA,Division I,Southeastern,Louisiana State University
2006,Chris Hawkins,Marshall University,CB,NA,5.833331,183,4.51,16,37,116,4.19,NA,NA,Division I,Conference USA,Marshall
2007,Chris Henry,University of Arizona,RB,NA,5.9166643,230,4.4,26,36,127,4.16,6.96,NA,Division I,Pacific-12,Arizona
2005,Chris Henry,University of West Virginia,WR,NA,6.3333308,197,4.5,NA,NA,NA,NA,NA,NA,Division I,Big 12,West Virginia
1999,Chris Hood,University of Alabama,DT,NA,6.0833309,281,5.16,17,26,100,4.8,8.1,NA,Division I,Southeastern,Alabama
2002,Chris Hope,Florida State University,FS,NA,6.0833309,210,4.58,28,NA,113,NA,NA,NA,Division I,Atlantic Coast,Florida State
2008,Chris Horton,"University of California, Los Angeles",SS,NA,6.0833309,212,4.54,14,28.5,109,4.35,7.34,NA,Division I,Pacific-12,UCLA
2007,Chris Houston,University of Arkansas,CB,NA,5.833331,185,4.32,27,36,122,4.12,6.94,NA,Division I,Southeastern,Arkansas
2000,Chris Hovan,Boston College,DT,NA,6.2499975,305,4.99,35,30,101,4.16,6.85,NA,Division I,Atlantic Coast,Boston College
2008,Chris Johnson,East Carolina University,RB,NA,5.9166643,197,4.24,NA,35,NA,NA,NA,NA,Division I,Big East,East Carolina
2013,Chris Jones,"Bowling Green State University
",DT,55.3,6.17,302,5.33,30,NA,NA,4.44,NA,NA,Division I,Mid-American,Bowling Green
1999,Chris Jones,Clemson University,OLB,NA,5.833331,228,4.72,21,NA,NA,4.48,7.64,NA,Division I,Atlantic Coast,Clemson
2003,Chris Kelsay,University of Nebraska,DE,NA,6.4166641,273,4.75,23,36.5,121,NA,NA,NA,Division I,Big Ten,Nebraska
2005,Chris Kemoeatu,University of Utah,OG,NA,6.3333308,344,5.34,26,29,98,4.57,7.75,NA,Division I,Pacific-12,Utah
2006,Chris Kuper,University of North Dakota,OG,NA,6.4166641,301,5.1,24,30,109,4.62,7.59,NA,Division I-AA,Big Sky,North Dakota
2007,Chris Leak,University of Florida,QB,NA,6.0833309,209,4.74,NA,32.5,113,4.41,7.03,NA,Division I,Southeastern,Florida
2008,Chris Long,University of Virginia,DE,NA,6.2499975,272,4.75,NA,34,124,4.21,7.02,NA,Division I,Atlantic Coast,Virginia
2002,Chris Luzar,University of Virginia,TE,NA,6.5833307,270,4.76,22,32.5,115,4.17,6.84,NA,Division I,Atlantic Coast,Virginia
1999,Chris McAlister,University of Arizona,CB,NA,6.0833309,205,4.53,NA,38,121,4.08,6.9,NA,Division I,Pacific-12,Arizona
2010,Chris McGaha,Arizona State University,WR,NA,6.0833309,201,4.52,19,40,122,4.21,NA,NA,Division I,Pacific-12,Arizona State
2000,Chris McIntosh,University of Wisconsin,OT,NA,6.5833307,315,5.39,28,NA,NA,NA,NA,NA,Division I,Big Ten,Wisconsin
2005,Chris McKenzie,Arizona State University,CB,NA,5.7499977,185,4.32,6,45,136,4.32,6.9,NA,Division I,Pacific-12,Arizona State
1987,Chris Miller,University of Oregon,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Division I,Pacific-12,Oregon
2005,Chris Myers,University of Miami,OG,NA,6.4166641,300,5.18,25,NA,NA,NA,NA,NA,Division I,Atlantic Coast,University of Miami
2011,Chris Neild,University of West Virginia,DT,NA,6.1666642,319,5.06,30,29,106,4.46,7.56,NA,Division I,Big 12,West Virginia
2009,Chris Ogbonnaya,University of Texas,RB,NA,6.0833309,220,4.57,19,35,111,4.29,6.85,NA,Division I,Big 12,University of Texas
2012,Chris Owusu,Stanford University,WR,NA,5.9166643,196,4.36,19,40,129,4.11,6.85,NA,Division I,Pacific-12,Stanford University
2013,Chris Pantale,Boston College,TE,53.5,6.42,254,4.99,17,33.5,110,4.5,7.48,NA,Division I,Atlantic Coast,Boston College
2004,Chris Perry,University of Michigan,RB,NA,6.0833309,220,4.55,19,NA,NA,NA,NA,NA,Division I,Big Ten,Michigan
2012,Chris Polk,University of Washington,RB,NA,5.9166643,215,4.57,NA,31,111,4.21,7.13,NA,Division I,Pacific-12,University of Washington
2012,Chris Rainey,University of Florida,RB,NA,5.6666644,180,4.45,16,36,120,3.93,6.5,NA,Division I,Southeastern,Florida
2000,Chris Redman,University of Louisville,QB,NA,6.2499975,222,5.37,NA,26.5,98,4.78,7.8,16,Division I,Big East,Louisville
2005,Chris Ricks,Florida State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Division I,Atlantic Coast,Florida State
2005,Chris Rix,Florida State University,QB,NA,6.1666642,214,4.7,NA,33.5,116,4.54,7.54,26,Division I,Atlantic Coast,Florida State
2011,Chris Rucker,Michigan State University,CB,NA,6.0833309,195,4.55,10,NA,NA,NA,NA,NA,Division I,Big Ten,Michigan State
2010,Chris Scott,University of Tennessee,OG,NA,6.2499975,319,5.52,19,22.5,NA,5.03,8.24,NA,Division I,Southeastern,Tennessee
2003,Chris Simms,University of Texas,QB,NA,6.4166641,220,4.84,NA,31,103,4.21,7.38,22,Division I,Big 12,University of Texas
2004,Chris Snee,Boston College,OG,NA,6.2499975,314,5.1,29,30.5,104,4.67,7.75,NA,Division I,Atlantic Coast,Boston College
2005,Chris Spencer,University of Mississippi,C,NA,6.2499975,309,5.21,26,32,105,4.61,8.07,NA,Division I,Southeastern,Ole Miss
2001,Chris Taylor,Texas A&M University,WR,NA,5.9166643,183,4.4,NA,35.5,115,3.93,6.81,NA,Division I,Southeastern,Texas A&M
1999,Chris Terry,University of Georgia,OT,NA,6.4166641,291,5.07,NA,31,108,4.41,7.73,NA,Division I,Southeastern,Georgia
2013,Chris Thompson,Florida State University,RB,52,5.58,192,4.42,21,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Florida State
2004,Chris Thompson,Nicholls State University,CB,NA,6.0833309,189,4.5,12,35,117,4.14,7.09,NA,Division I-AA,Southland,Nicholls State
2001,Chris Valletta,Texas A&M University,OG,NA,6.2499975,299,5.32,18,33.5,98,4.53,7.9,NA,Division I,Southeastern,Texas A&M
1999,Chris Watson,Eastern Illinois University,CB,NA,6.0833309,191,4.34,18,37,124,3.86,6.8,NA,Division I-AA,Ohio Valley,Eastern Illinois
2001,Chris Weinke,Florida State University,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Division I,Atlantic Coast,Florida State
2009,Chris Wells,Ohio State University,RB,NA,6.0833309,235,4.52,25,33.5,128,NA,NA,NA,Division I,Big Ten,Ohio State
2011,Chris White,Mississippi State University,ILB,NA,6.2499975,240,4.68,17,34,NA,4.25,6.95,NA,Division I,Southeastern,Mississippi State
1999,Chris White,Southern University and A&amp;M College,DT,NA,6.2499975,282,5.23,25,29,107,4.71,8.15,NA,Division I-AA,Southwestern,Southern University
2008,Chris Williams,Vanderbilt University,OT,NA,6.4999974,315,5.13,21,25,103,4.85,7.95,NA,Division I,Southeastern,Vanderbilt
2002,Chris Young,Georgia Institute of Technology,SS,NA,6.0833309,210,4.63,23,36.5,121,NA,NA,NA,Division I,Atlantic Coast,Georgia Tech
2011,Christian Ballard,University of Iowa,DE,NA,6.3333308,283,4.75,NA,31.5,111,4.51,7.54,NA,Division I,Big Ten,Iowa
2011,Christian Ponder,Florida State University,QB,NA,6.1666642,229,4.63,NA,34,116,4.09,6.85,35,Division I,Atlantic Coast,Florida State
2012,Christian Thompson,South Carolina State University,FS,NA,5.9999976,211,4.5,18,31,122,4.13,7.33,NA,Division I-AA,Mid-Eastern,South Carolina State
2012,Christian Tupou,University of Southern California,DT,NA,6.1666642,289,5.42,30,24,92,4.87,8.07,NA,Division I,Pacific-12,University of Southern California
2013,Christine Michael,Texas A&M University,RB,71.4,5.83,220,4.54,27,43,125,4.02,6.69,NA,Division I,Southeastern,Texas A&M
2009,Christopher Owens,San Jose State University,CB,NA,5.833331,181,4.44,14,34.5,110,4.16,6.93,NA,Division I,Mountain West,San Jose State
2000,Chrys Chukwuma,University of Arkansas,RB,NA,6.0833309,232,4.56,NA,NA,115,NA,NA,NA,Division I,Southeastern,Arkansas
1989,Chuck Hartlieb,University of Iowa,QB,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,Division I,Big Ten,Iowa
2001,Chukky Okobi,Purdue University,C,NA,6.0833309,316,5.27,24,32.5,103,4.61,7.87,NA,Division I,Big Ten,Purdue
2011,Chykie Brown,University of Texas,CB,NA,5.9166643,190,4.49,NA,36.5,120,4,6.5,NA,Division I,Big 12,University of Texas
2013,Cierre Wood,Notre Dame University,RB,61,5.92,213,4.56,16,37.5,124,NA,NA,NA,Division I,I-A Independent,Notre Dame
2010,Ciron Black,Louisiana State University,OG,NA,6.4166641,327,5.53,23,25.5,NA,5.13,8.52,NA,Division I,Southeastern,Louisiana State University
2007,CJ Ah You,University of Oklahoma,DE,NA,6.3333308,274,4.7,26,36.5,108,4.4,7.06,NA,Division I,Big 12,Oklahoma
2004,Clarence Farmer,University of Arizona,RB,NA,6.0833309,231,4.68,25,34.5,120,4.27,7.45,NA,Division I,Pacific-12,Arizona
2004,Clarence Moore,Northern Arizona University,WR,NA,6.4999974,211,4.55,NA,34,122,4.21,6.84,NA,Division I-AA,Big Sky,Northern Arizona
1999,Clarence Williams,University of Michigan,RB,NA,5.7499977,202,4.71,19,33.5,108,4.15,6.98,NA,Division I,Big Ten,Michigan
2000,Clark Haggans,Colorado State University,OLB,NA,6.3333308,253,4.97,20,31.5,109,4.21,7.12,NA,Division I,Mountain West,Colorado State
2007,Clark Harris,Rutgers University,TE,NA,6.4999974,261,4.8,21,32,112,4.4,NA,NA,Division I,Big East,Rutgers
2004,Claude Harriott,University of Pittsburgh,DE,NA,6.3333308,252,4.69,25,30.5,118,4.25,7.44,NA,Division I,Big East,Pittsburgh
2005,Claude Terrell,University of New Mexico,OG,NA,6.1666642,343,5.42,27,24.5,89,4.81,8.19,NA,Division I,Mountain West,New Mexico
2010,Clay Harbor,Missouri State University,FB,NA,6.2499975,252,4.62,30,40,120,4.37,NA,NA,Division I-AA,Missouri Valley,Missouri State
2009,Clay Matthews,University of Southern California,OLB,NA,6.2499975,240,4.62,23,35.5,121,4.18,6.9,27,Division I,Pacific-12,University of Southern California
2002,Clenton Ballard,Texas State Universityâ€“San Marcos,DT,NA,6.2499975,313,5.18,24,26.5,93,4.64,7.47,NA,Division I,Western Athletic Conference,Texas State
2001,Cleo Lemon,Arkansas State University,QB,NA,6.1666642,226,4.87,NA,35.5,106,4.27,7.33,18,Division I,Sun Belt,Arkansas State
1999,Cletidus Hunt,Kentucky State University,DT,NA,6.3333308,293,4.98,17,31.5,111,4.73,8.08,NA,Division II,Southern Intercollegiate Athletic Conference,Kentucky State
2001,Clevan Thomas,Florida State University,CB,NA,5.7499977,189,4.64,NA,36,118,4.24,7.4,NA,Division I,Atlantic Coast,Florida State
1999,Cleve Roberts,Troy University,OT,NA,6.4999974,290,5.37,16,23.5,94,4.86,8.34,NA,Division I,Sun Belt,Troy
2008,Cliff Avril,Purdue University,OLB,NA,6.2499975,253,4.51,27,32.5,117,4.51,6.9,NA,Division I,Big Ten,Purdue
2012,Cliff Harris,University of Oregon,CB,NA,5.9166643,175,4.64,14,36,118,4.19,6.79,NA,Division I,Pacific-12,Oregon
2011,Cliff Matthews,University of South Carolina,DE,NA,6.3333308,257,4.81,17,32,112,4.37,7.21,NA,Division I,Southeastern,South Carolina
2002,Cliff Russell,University of Utah,WR,NA,6.0833309,185,4.36,NA,NA,NA,NA,NA,NA,Division I,Pacific-12,Utah
2005,Clifford Dukes,Michigan State University,DE,NA,6.3333308,268,4.95,28,31.5,NA,NA,NA,NA,Division I,Big Ten,Michigan State
2010,Clifton Geathers,University of South Carolina,DE,NA,6.666664,299,4.98,26,36,112,NA,7.69,NA,Division I,Southeastern,South Carolina
2007,Clifton Ryan,Michigan State University,DT,NA,6.1666642,305,5.12,25,26.5,102,4.69,7.5,NA,Division I,Big Ten,Michigan State
2003,Clifton Smith,Syracuse University,ILB,NA,6.1666642,250,4.88,NA,NA,NA,NA,NA,NA,Division I,Atlantic Coast,Syracuse
2003,Clifton Washburn,"The Citadel, The Military College of South Carolina",DE,NA,6.4166641,275,5.03,22,27,109,4.82,8.59,NA,Division I-AA,Southern,Citadel
2011,Clint Boling,University of Georgia,OG,NA,6.4166641,308,5.28,28,31,102,4.64,7.66,NA,Division I,Southeastern,Georgia
2006,Clint Ingram,University of Oklahoma,OLB,NA,6.1666642,244,4.65,22,41,NA,4.11,7.12,NA,Division I,Big 12,Oklahoma
2003,Clint Mitchell,University of Florida,DE,NA,6.5833307,257,4.93,16,34.5,115,4.39,7.36,NA,Division I,Southeastern,Florida
2009,Clint Sintim,University of Virginia,OLB,NA,6.2499975,256,4.75,NA,34.5,119,4.4,7.37,NA,Division I,Atlantic Coast,Virginia
2006,Clinton Solomon,University of Iowa,WR,NA,6.2499975,214,4.58,NA,33,114,4.48,7.18,NA,Division I,Big Ten,Iowa
2013,Cobi Hamilton,University of Arkansas,WR,72.9,6.17,212,4.56,11,29.5,107,4.31,NA,NA,Division I,Southeastern,Arkansas
