Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
Undrafted,Undrafted,Mike Taylor,OLB,Undrafted,Undrafted,University of Wisconsin at Madison,Big Ten Conference,Division I,Sociology,Sociology,2013,59.9,6.08,234,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Wisconsin%E2%80%93Madison,http://live.dbpedia.org/data/University_of_Wisconsin%E2%80%93Madison.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,"live.dbpedia.org/resource/Mike_Taylor_(linebacker,_born_c._1990)","live.dbpedia.org/data/Mike_Taylor_(linebacker,_born_c._1990).json",live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Chase Thomas,OLB,Undrafted,Undrafted,Stanford University,Pacific-12 Conference,Division I,Communications,Communications,2013,79.4,6.25,244,4.91,18,32,113,4.31,7.17,NA,http://live.dbpedia.org/resource/Stanford_University,http://live.dbpedia.org/data/Stanford_University.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Chase_Thomas,live.dbpedia.org/data/Chase_Thomas.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Keith Pough,OLB,Undrafted,Undrafted,Howard University,Mid-Eastern Athletic Conference,Division I-AA,Undisclosed,Undeclared/Undisclosed,2013,70.5,6.17,239,4.9,17,33,118,4.47,7.28,NA,http://live.dbpedia.org/resource/Howard_University,http://live.dbpedia.org/data/Howard_University.json,Mid-Eastern Athletic Conference,http://live.dbpedia.org/resource/Mid-Eastern_Athletic_Conference,http://live.dbpedia.org/data/Mid-Eastern_Athletic_Conference.json,live.dbpedia.org/resource/Keith_Pough,live.dbpedia.org/data/Keith_Pough.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Chris Faulk,OT,Undrafted,Undrafted,Louisiana State University,Southeastern Conference,Division I,General Studies,General Studies,2013,64,6.42,331,5.08,25,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Chris_Faulk,live.dbpedia.org/data/Chris_Faulk.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Xavier Nixon,OT,Undrafted,Undrafted,University of Florida,Southeastern Conference,Division I,Sociology,Sociology,2013,67.2,6.5,321,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Xavier_Nixon,live.dbpedia.org/data/Xavier_Nixon.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Jason Weaver,OT,Undrafted,Undrafted,University of Southern Mississippi,Conference USA,Division I,Undisclosed,Undeclared/Undisclosed,2013,51,6.33,313,5.44,23,21,94,5.07,8.23,NA,http://live.dbpedia.org/resource/University_of_Southern_Mississippi,http://live.dbpedia.org/data/University_of_Southern_Mississippi.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,,.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Emmett Cleary,OT,Undrafted,Undrafted,Boston College University,Atlantic Coast Conference,Division I,Management,"Business Administration, Management",2013,57.5,6.58,316,5.21,24,28.5,108,4.7,7.81,NA,http://live.dbpedia.org/resource/Boston_College_University,http://live.dbpedia.org/data/Boston_College_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Emmett_Cleary,live.dbpedia.org/data/Emmett_Cleary.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Jamaal Johnson-Webb,OT,Undrafted,Undrafted,Alabama Agricultural and Mechanical University,Southwestern Athletic Conference,Division I-AA,Electrical Engineering,Engineering,2013,54,6.42,313,5.37,17,23,92,4.74,8.12,NA,http://live.dbpedia.org/resource/Alabama_Agricultural_and_Mechanical_University,http://live.dbpedia.org/data/Alabama_Agricultural_and_Mechanical_University.json,Southwestern Athletic Conference,http://live.dbpedia.org/resource/Southwestern_Athletic_Conference,http://live.dbpedia.org/data/Southwestern_Athletic_Conference.json,live.dbpedia.org/resource/Jamaal_Johnson-Webb,live.dbpedia.org/data/Jamaal_Johnson-Webb.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Manase Foketi,OT,Undrafted,Undrafted,West Texas A&M University,Lone Star Conference,Division II,Criminal Justice,Criminal Justice,2013,61,6.42,318,5.3,25,23.5,102,5.06,8.11,NA,http://live.dbpedia.org/resource/West_Texas_A&M_University,http://live.dbpedia.org/data/West_Texas_A&M_University.json,Lone Star Conference,http://live.dbpedia.org/resource/Lone_Star_Conference,http://live.dbpedia.org/data/Lone_Star_Conference.json,live.dbpedia.org/resource/Manase_Foketi,live.dbpedia.org/data/Manase_Foketi.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Rogers Gaines,OT,Undrafted,Undrafted,Tennessee State University,Ohio Valley Conference,Division I-AA,Human Performance and Sports Science,"Physical Therapy, Sports Science, Kinesiology",2013,60.9,6.5,334,5.24,28,23,NA,5.24,NA,NA,http://live.dbpedia.org/resource/Tennessee_State_University,http://live.dbpedia.org/data/Tennessee_State_University.json,Ohio Valley Conference,http://live.dbpedia.org/resource/Ohio_Valley_Conference,http://live.dbpedia.org/data/Ohio_Valley_Conference.json,live.dbpedia.org/resource/Rogers_Gaines,live.dbpedia.org/data/Rogers_Gaines.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Jordan Devey,OT,Undrafted,Undrafted,University of Memphis,Conference USA,Division I,Accounting,Accounting,2013,52,6.58,317,5.25,21,24,98,4.77,7.91,NA,http://live.dbpedia.org/resource/University_of_Memphis,http://live.dbpedia.org/data/University_of_Memphis.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Jordan_Devey,live.dbpedia.org/data/Jordan_Devey.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,John Wetzel,OT,Undrafted,Undrafted,Boston College University,Atlantic Coast Conference,Division I,Communications,Communications,2013,60,6.58,315,5.46,22,25,105,4.81,7.9,NA,http://live.dbpedia.org/resource/Boston_College_University,http://live.dbpedia.org/data/Boston_College_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/John_Wetzel,live.dbpedia.org/data/John_Wetzel.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Braden Brown,OT,Undrafted,Undrafted,Brigham Young University,NCAA Division I FBS independent schools,Division I,Exercise and Wellness,"Physical Therapy, Sports Science, Kinesiology",2013,51,6.42,310,5.2,26,28,100,4.7,7.43,NA,http://live.dbpedia.org/resource/Brigham_Young_University,http://live.dbpedia.org/data/Brigham_Young_University.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Braden_Brown,live.dbpedia.org/data/Braden_Brown.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Luke Marquardt,OT,Undrafted,Undrafted,Azusa Pacific University,Golden State Athletic Conference,NAIA,Physical Education,"Physical Therapy, Sports Science, Kinesiology",2013,68.1,6.67,315,5.34,31,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Azusa_Pacific_University,http://live.dbpedia.org/data/Azusa_Pacific_University.json,Golden State Athletic Conference,http://live.dbpedia.org/resource/Golden_State_Athletic_Conference,http://live.dbpedia.org/data/Golden_State_Athletic_Conference.json,live.dbpedia.org/resource/Luke_Marquardt,live.dbpedia.org/data/Luke_Marquardt.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Stephane Milhim,OT,Undrafted,Undrafted,University of Massachusetts,Mid-American Conference,Division I,African American Studies,African American Studies,2013,51,6.33,314,5.23,NA,28.5,104,4.87,NA,NA,http://live.dbpedia.org/resource/University_of_Massachusetts,http://live.dbpedia.org/data/University_of_Massachusetts.json,Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Stephane_Milhim,live.dbpedia.org/data/Stephane_Milhim.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Nick Becton,OT,Undrafted,Undrafted,Virginia Tech,Atlantic Coast Conference,Division I,"Apparel, Housing, and Resource Management",Housing Management,2013,67.5,6.42,323,5.2,19,29.5,109,4.57,7.77,NA,http://live.dbpedia.org/resource/Virginia_Polytechnic_Institute_and_State_University,http://live.dbpedia.org/data/Virginia_Polytechnic_Institute_and_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Nick_Becton,live.dbpedia.org/data/Nick_Becton.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Bobby Cowan,P,Undrafted,Undrafted,University of Idaho,Western Athletic Conference football,Division I,Business,"Business Administration, Management",2013,NA,6.33,219,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Idaho,http://live.dbpedia.org/data/University_of_Idaho.json,Western Athletic Conference football,http://live.dbpedia.org/resource/Western_Athletic_Conference_football,http://live.dbpedia.org/data/Western_Athletic_Conference_football.json,live.dbpedia.org/resource/Bobby_Cowan,live.dbpedia.org/data/Bobby_Cowan.json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Brad Wing,P,Undrafted,Undrafted,Louisiana State University,Southeastern Conference,Division I,Sport Administration,"Leisure, Sport, Recreation Studies and Management",2013,NA,6.17,205,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Brad_Wing,live.dbpedia.org/data/Brad_Wing.json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Ryan Allen,P,Undrafted,Undrafted,Louisiana Tech University,Western Athletic Conference football,Division I,Business,"Business Administration, Management",2013,50,6.08,229,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_Tech_University,http://live.dbpedia.org/data/Louisiana_Tech_University.json,Western Athletic Conference football,http://live.dbpedia.org/resource/Western_Athletic_Conference_football,http://live.dbpedia.org/data/Western_Athletic_Conference_football.json,live.dbpedia.org/resource/Ryan_Allen_(American_football),live.dbpedia.org/data/Ryan_Allen_(American_football).json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Alex Dunnachie,P,Undrafted,Undrafted,University of Hawaii,Mountain West Conference,Division I,English,English,2013,NA,6.25,217,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Hawaii,http://live.dbpedia.org/data/University_of_Hawaii.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Alex_Dunnachie,live.dbpedia.org/data/Alex_Dunnachie.json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Dylan Breeding,P,Undrafted,Undrafted,"University of Arkansas, Little Rock",Southeastern Conference,Division I,Marketing,Marketing,2013,51.4,6.08,213,4.74,11,29,110,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Arkansas,http://live.dbpedia.org/data/University_of_Arkansas.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Dylan_Breeding,live.dbpedia.org/data/Dylan_Breeding.json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Scott Kovanda,P,Undrafted,Undrafted,Ball State University,Mid-American Conference,Division I,Finance,Finance,2013,0,6.17,207,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Ball_State_University,http://live.dbpedia.org/data/Ball_State_University.json,Mid-American Conference,http://live.dbpedia.org/resource/Mid-American_Conference,http://live.dbpedia.org/data/Mid-American_Conference.json,live.dbpedia.org/resource/Scott_Kovanda,live.dbpedia.org/data/Scott_Kovanda.json,live.dbpedia.org/resource/Punter_(football),live.dbpedia.org/data/Punter_(football).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Colby Cameron,QB,Undrafted,Undrafted,Louisiana Tech University,Western Athletic Conference football,Division I,Finance,Finance,2013,50,6.17,212,4.78,NA,30.5,112,4.28,6.98,NA,http://live.dbpedia.org/resource/Louisiana_Tech_University,http://live.dbpedia.org/data/Louisiana_Tech_University.json,Western Athletic Conference football,http://live.dbpedia.org/resource/Western_Athletic_Conference_football,http://live.dbpedia.org/data/Western_Athletic_Conference_football.json,live.dbpedia.org/resource/Colby_Cameron,live.dbpedia.org/data/Colby_Cameron.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Matt Scott,QB,Undrafted,Undrafted,University of Arizona,Pacific-12 Conference,Division I,Family Studies and Human Development,"Child, Family and Community Studies/Development",2013,55.4,6.17,213,4.69,NA,31,118,3.99,6.69,NA,http://live.dbpedia.org/resource/University_of_Arizona,http://live.dbpedia.org/data/University_of_Arizona.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Matt_Scott_(American_football),live.dbpedia.org/data/Matt_Scott_(American_football).json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Tyler Bray,QB,Undrafted,Undrafted,University of Tennessee,Southeastern Conference,Division I,Sociology,Sociology,2013,67.8,6.5,232,5.05,NA,NA,100,4.51,7.2,NA,http://live.dbpedia.org/resource/University_of_Tennessee,http://live.dbpedia.org/data/University_of_Tennessee.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Tyler_Bray,live.dbpedia.org/data/Tyler_Bray.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Collin Klein,QB,Undrafted,Undrafted,Kansas State University,Big 12 Conference,Division I,"Accounting, Finance",Accounting,2013,55,6.42,226,4.78,NA,29,111,4.4,7.17,NA,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Collin_Klein,live.dbpedia.org/data/Collin_Klein.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,James Vandenberg,QB,Undrafted,Undrafted,University of Iowa,Big Ten Conference,Division I,Integrative Physiology,"Physical Therapy, Sports Science, Kinesiology",2013,48.3,6.25,226,4.92,NA,32,116,4.52,6.95,NA,http://live.dbpedia.org/resource/University_of_Iowa,http://live.dbpedia.org/data/University_of_Iowa.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/James_Vandenberg,live.dbpedia.org/data/James_Vandenberg.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Robbie Rouse,RB,Undrafted,Undrafted,Fresno State University,Mountain West Conference,Division I,Communication,Communications,2013,60,5.5,190,4.8,15,34,114,4.25,6.97,NA,http://live.dbpedia.org/resource/Fresno_State_University,http://live.dbpedia.org/data/Fresno_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Robbie_Rouse,live.dbpedia.org/data/Robbie_Rouse.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Miguel Maysonet,RB,Undrafted,Undrafted,Stony Brook University,Big South Conference,Division I-AA,Health Science,"Physical Therapy, Sports Science, Kinesiology",2013,59,5.75,209,4.54,20,NA,NA,4.43,7.21,NA,http://live.dbpedia.org/resource/Stony_Brook_University,http://live.dbpedia.org/data/Stony_Brook_University.json,Big South Conference,http://live.dbpedia.org/resource/Big_South_Conference,http://live.dbpedia.org/data/Big_South_Conference.json,,.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,C.J. Anderson,RB,Undrafted,Undrafted,"University of California, Berkeley",Pacific-12 Conference,Division I,General Studies,General Studies,2013,52,5.67,224,4.6,17,32,119,4.12,7.15,NA,http://live.dbpedia.org/resource/University_of_California%2C_Berkeley,http://live.dbpedia.org/data/University_of_California%2C_Berkeley.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/C._J._Anderson,live.dbpedia.org/data/C._J._Anderson.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,George Winn,RB,Undrafted,Undrafted,University of Cincinnati,Big East Conference,Division I,Exploratory Studies,General Studies,2013,58.8,5.83,218,4.75,22,34.5,119,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Cincinnati,http://live.dbpedia.org/data/University_of_Cincinnati.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,,.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Onterio McCalebb,RB,Undrafted,Undrafted,Auburn University,Southeastern Conference,Division I,Interdisciplinary University Studies,General Studies,2013,54,5.83,168,4.34,NA,34,121,NA,NA,NA,http://live.dbpedia.org/resource/Auburn_University,http://live.dbpedia.org/data/Auburn_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Onterio_McCalebb,live.dbpedia.org/data/Onterio_McCalebb.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,D.J. Harper,RB,Undrafted,Undrafted,Boise State University,Mountain West Conference,Division I,Business,"Business Administration, Management",2013,58.8,5.75,211,4.52,23,33.5,120,4.35,7.07,NA,http://live.dbpedia.org/resource/Boise_State_University,http://live.dbpedia.org/data/Boise_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/D.J._Harper,live.dbpedia.org/data/D.J._Harper.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Matthew Tucker,RB,Undrafted,Undrafted,Texas Christian University,Big 12 Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,56,6,221,4.55,17,35.5,118,NA,NA,NA,http://live.dbpedia.org/resource/Texas_Christian_University,http://live.dbpedia.org/data/Texas_Christian_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Matthew_Tucker,live.dbpedia.org/data/Matthew_Tucker.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Stefphon Jefferson,RB,Undrafted,Undrafted,"University of Nevada, Reno",Mountain West Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,60,5.83,213,4.68,15,31,117,4.44,6.97,NA,"http://live.dbpedia.org/resource/University_of_Nevada,_Reno","http://live.dbpedia.org/data/University_of_Nevada,_Reno.json",Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Stefphon_Jefferson,live.dbpedia.org/data/Stefphon_Jefferson.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Montel Harris,RB,Undrafted,Undrafted,Temple University,Big East Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,52.7,5.67,208,4.68,19,32.5,113,4.18,6.95,NA,http://live.dbpedia.org/resource/Temple_University,http://live.dbpedia.org/data/Temple_University.json,Big East Conference,http://live.dbpedia.org/resource/Big_East_Conference,http://live.dbpedia.org/data/Big_East_Conference.json,live.dbpedia.org/resource/Montel_Harris,live.dbpedia.org/data/Montel_Harris.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
Undrafted,Undrafted,Ray Graham,RB,Undrafted,Undrafted,University of Pittsburgh,Atlantic Coast Conference,Division I,Communication,Communications,2013,70.9,5.75,199,4.8,18,32.5,112,4.21,7.17,NA,http://live.dbpedia.org/resource/University_of_Pittsburgh,http://live.dbpedia.org/data/University_of_Pittsburgh.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Ray_Graham,live.dbpedia.org/data/Ray_Graham.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
