School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Texas,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.24137931
Texas,54,HISTORY.,College Major,1,0.034482759
Texas A&M,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,23,0.283950617
Texas A&M,14,ENGINEERING.,College Major,9,0.111111111
Texas A&M,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,19,0.234567901
Texas A&M,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,20,0.24691358
Texas A&M,45,SOCIAL SCIENCES.,College Major,3,0.037037037
Texas A&M,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,7,0.086419753
Utah State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.019607843
Utah State,13,EDUCATION.,College Major,1,0.009803922
Utah State,14,ENGINEERING.,College Major,3,0.029411765
Utah State,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.009803922
Utah State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,51,0.5
Utah State,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.009803922
Utah State,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,1,0.009803922
Utah State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,14,0.137254902
Utah State,42,PSYCHOLOGY.,College Major,2,0.019607843
Utah State,45,SOCIAL SCIENCES.,College Major,10,0.098039216
Utah State,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.009803922
Utah State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,15,0.147058824
Vanderbilt,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,2,0.0625
Vanderbilt,13,EDUCATION.,College Major,3,0.09375
Vanderbilt,14,ENGINEERING.,College Major,2,0.0625
