Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,186380,Rutgers University-New Brunswick,Multi/Interdisciplinary Studies,30',Bachelor's degrees,5,0,5
1985-1986,186380,Rutgers University-New Brunswick,Philosophy and Religion,38',Bachelor's degrees,23,10,13
1985-1986,186380,Rutgers University-New Brunswick,Architecture and Environmental Design,4',Bachelor's degrees,55,38,17
1985-1986,186380,Rutgers University-New Brunswick,Physical Sciences,40',Bachelor's degrees,133,86,47
1985-1986,186380,Rutgers University-New Brunswick,Psychology,42',Bachelor's degrees,272,69,203
1985-1986,186380,Rutgers University-New Brunswick,Protective Services,43',Bachelor's degrees,34,22,12
1985-1986,186380,Rutgers University-New Brunswick,Public Affairs,44',Bachelor's degrees,11,1,10
1985-1986,186380,Rutgers University-New Brunswick,Social Sciences,45',Bachelor's degrees,1078,537,541
1985-1986,186380,Rutgers University-New Brunswick,Area and Ethnic Studies,5',Bachelor's degrees,27,7,20
1985-1986,186380,Rutgers University-New Brunswick,Visual and Performing Arts,50',Bachelor's degrees,173,67,106
1985-1986,186380,Rutgers University-New Brunswick,Business and Management,6',Bachelor's degrees,528,297,231
1985-1986,186380,Rutgers University-New Brunswick,Communications,9',Bachelor's degrees,345,113,232
1985-1986,122755,San Jose State University,Education,13',Bachelor's degrees,52,22,30
1985-1986,122755,San Jose State University,Engineering,14',Bachelor's degrees,322,246,76
1985-1986,122755,San Jose State University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,268,243,25
1985-1986,122755,San Jose State University,Foreign Languages,16',Bachelor's degrees,26,7,19
1985-1986,122755,San Jose State University,Allied Health,17',Bachelor's degrees,91,7,84
1985-1986,122755,San Jose State University,Health Sciences,18',Bachelor's degrees,223,18,205
1985-1986,122755,San Jose State University,Home Economics,19',Bachelor's degrees,30,2,28
1985-1986,122755,San Jose State University,Letters,23',Bachelor's degrees,62,22,40
1985-1986,122755,San Jose State University,Liberal/General Studies,24',Bachelor's degrees,136,19,117
1985-1986,122755,San Jose State University,Life Sciences,26',Bachelor's degrees,76,38,38
1985-1986,122755,San Jose State University,Mathematics,27',Bachelor's degrees,139,95,44
1985-1986,122755,San Jose State University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,29,13,16
1985-1986,122755,San Jose State University,Parks and Recreation,31',Bachelor's degrees,27,1,26
1985-1986,122755,San Jose State University,Philosophy and Religion,38',Bachelor's degrees,13,7,6
1985-1986,122755,San Jose State University,Architecture and Environmental Design,4',Bachelor's degrees,31,7,24
1985-1986,122755,San Jose State University,Physical Sciences,40',Bachelor's degrees,80,59,21
1985-1986,122755,San Jose State University,Psychology,42',Bachelor's degrees,138,38,100
1985-1986,122755,San Jose State University,Protective Services,43',Bachelor's degrees,93,60,33
1985-1986,122755,San Jose State University,Public Affairs,44',Bachelor's degrees,12,1,11
1985-1986,122755,San Jose State University,Social Sciences,45',Bachelor's degrees,281,111,170
