"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"245","Ariza","Ariza, Trevor","NBA","NOH","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"246","Gomes","Gomes, Ryan","NBA","LAC","2010-2011",3.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"247","Jefferson","Jefferson, Al","NBA","UTA","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"249","Jamal Crawford","Crawford, Jamal","NBA","ATL","2010-2011",1.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"251","Greene","Greene, Orien","NBA","NJN","2010-2011",2,"20110202PHINJN","2011-02-01","2011-07-01","Basketball Value","Regular Season"
"252","Scalabrine","Scalabrine, Brian","NBA","CHI","2010-2011",3.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"253","Perkins","Perkins, Kendrick","NBA","BOS","2010-2011",4.99,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"253","Perkins","Perkins, Kendrick","NBA","OKC","2010-2011",4.99,"20110314OKCWAS","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"254","Robinson","Robinson, Nate","NBA","OKC","2010-2011",1.49,"20110302INDOKC","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"254","Robinson","Robinson, Nate","NBA","BOS","2010-2011",1.49,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"257","Gooden","Gooden, Drew","NBA","MIL","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"258","Ilgauskas","Ilgauskas, Zydrunas","NBA","MIA","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"260","James","James, LeBron","NBA","MIA","2010-2011",3.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"265","Pavlovic","Pavlovic, Sasha","NBA","NOH","2010-2011",2.49,"20110205LALNOH","2011-02-04","2011-02-14","Basketball Value","Regular Season"
"265","Pavlovic","Pavlovic, Sasha","NBA","DAL","2010-2011",2.49,"20110114DALSAS","2011-01-10","2011-02-04","Basketball Value","Regular Season"
"265","Pavlovic","Pavlovic, Sasha","NBA","BOS","2010-2011",2.49,"20110306BOSMIL","2011-03-06","2011-07-01","Basketball Value","Regular Season"
"270","Hamilton","Hamilton, Richard","NBA","DET","2010-2011",2.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"271","Billups","Billups, Chauncey","NBA","NYK","2010-2011",1.01,"20110223MILNYK","2011-02-22","2011-07-01","Basketball Value","Regular Season"
"271","Billups","Billups, Chauncey","NBA","DEN","2010-2011",1.01,"SeasonStart","2010-10-25","2011-02-22","Basketball Value","Regular Season"
"272","Prince","Prince, Tayshaun","NBA","DET","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"273","Wallace","Wallace, Ben","NBA","DET","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"275","McDyess","McDyess, Antonio","NBA","SAS","2010-2011",4.49,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"276","Evans","Evans, Maurice","NBA","WAS","2010-2011",2.51,"20110225WASMIA","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"276","Evans","Evans, Maurice","NBA","ATL","2010-2011",2.51,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"277","Arroyo","Arroyo, Carlos","NBA","MIA","2010-2011",1.03,"SeasonStart","2010-10-25","2011-03-01","Basketball Value","Regular Season"
"277","Arroyo","Arroyo, Carlos","NBA","BOS","2010-2011",1.03,"20110309LACBOS","2011-03-01","2011-07-01","Basketball Value","Regular Season"
"278","Milicic","Milicic, Darko","NBA","MIN","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
