ID_Sport_Sponsorship,Governing_Body,Sponsorship_Type,Period,Sport_Sponsor,Company,Company_Brand,Event,Sport,Contract_Type,Value,Value_Type,Detail,Franchise,Sponsorship
289,NBA,Official,1,Sirius XM Satellite Radio,Sirius XM Satellite Radio,,,,,,,,,
290,NCAA,Corporate Champion,2012,AT&T,AT&T,,,Football,Jersey,35,Dollars_Millions,,,
291,NCAA,Corporate Champion,2012,CocaCola,CocaCola,,,Football,Jersey,35,Dollars_Millions,,,
292,NCAA,Corporate Champion,2012,General Motors,General Motors,,,Football,Jersey,35,Dollars_Millions,,,
293,NCAA,Corporate Partner,2012,Buick,General Motors,Buick,,Football,Jersey,10,Dollars_Millions,,,
294,NCAA,Corporate Partner,2012,Enterprise RentACar,Enterprise RentACar,,,Football,Jersey,10,Dollars_Millions,,,
295,NCAA,Corporate Partner,2012,Hartford Financial Services Group,Hartford Financial Services Group,,,Football,Jersey,10,Dollars_Millions,,,
296,NCAA,Corporate Partner,2012,LG,LG,,,Football,Jersey,10,Dollars_Millions,,,
297,NCAA,Corporate Partner,2012,Lowes,Lowes,,,Football,Jersey,10,Dollars_Millions,,,
298,NCAA,Corporate Partner,2012,Planters,Kraft,Planters,,Football,Jersey,10,Dollars_Millions,,,
299,NCAA,Corporate Partner,2012,Reeses,Mars,Reeses,,Football,Jersey,10,Dollars_Millions,,,
300,NCAA,Corporate Partner,2012,Unilever,Unilever,,,Football,Jersey,10,Dollars_Millions,,,
301,NCAA,Corporate Partner,2012,UPS,UPS,,,Football,Jersey,10,Dollars_Millions,,,
302,NFL,Official,1,Bank of America,Bank of America,,,,,,,,,
303,NFL,Official,1,Bridgestone,Bridgestone,,,,,,,,,
304,NFL,Official,1,Campbell Soup,Campbell Soup,,,,,,,,,
305,NFL,Official,1,Canon USA,Cannon,Canon USA,,,,,,,,
306,NFL,Official,1,FedEx,FedEx,,,,,,,,,
307,NFL,Official,1,FritoLay,PepsiCo,FritoLay,,,,,,,,
308,NFL,Official,1,Gatorade,Gatorade,Gatorade,,,,,,,,
309,NFL,Official,1,General Motors,General Motors,,,,,,,,,
310,NFL,Official,1,IBM,IBM,,,,,,,,,
311,NFL,Official,1,Mars Snackfood,Mars Snackfood,,,,,,,,,
312,NFL,Official,1,Coors Light,MillerCoors,Coors Light,,,,,,,,
313,NFL,Official,1,Monstercom,Monstercom,,,,,,,,,
314,NFL,Official,1,Motorola,Motorola,,,,,,,,,
315,NFL,Official,1,National Dairy Council,National Dairy Council,,,,,,,,,
316,NFL,Official,1,National Guard,National Guard,,,,,,,,,
317,NFL,Official,1,News America,News America,,,,,,,,,
318,NFL,Official,1,Pepsi,PepsiCo,Pepsi,,,,,,,,
319,NFL,Official,1,Prilosec OTC,Proctor  Gamble,Prilosec OTC,,,,,,,,
320,NFL,Official,1,Head  Shoulders,Proctor  Gamble,Head  Shoulders,,,,,,,,
321,NFL,Official,1,Old Spice,Proctor  Gamble,Old Spice,,,,,,,,
322,NFL,Official,1,Samsung,Samsung,,,,,,,,,
323,NFL,Official,1,Sprint,Sprint,,,,,,,,,
324,NFL,Official,1,State Farm,State Farm,,,,,,,,,
325,NFL,Official,1,Ticketmaster,Ticketmaster,,,,,,,,,
326,NFL,Official,1,Tropicana,Tropicana,,,,,,,,,
327,NFL,Official,1,Visa,Visa,,,,,,,,,
328,NHL,Official,1,Bell,Bell,,,,,,,,,
329,NHL,Official,1,Bridgestone,Bridgestone,,,,,,,,,
